stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
SC250,5693,"COLONNADE / AD. 177",,  45.342187, -75.710882,,,0
SC275,1758,"COLONNADE / AD. 8",,  45.341375, -75.723730,,,0
SC310,6496,"FISHER / NORMANDY",,  45.356139, -75.707586,,,0
SC320,6733,"FISHER / NORMANDY",,  45.356484, -75.708079,,,0
SC330,6053,"FISHER / FALAISE",,  45.358029, -75.708977,,,0
SC340,6497,"FISHER / FALAISE",,  45.359021, -75.709231,,,0
SC350,6718,"FISHER / NORMANDY",,  45.359782, -75.709973,,,0
SC360,6498,"FISHER / NORMANDY",,  45.360611, -75.710192,,,0
SC370,6054,"FISHER / MEADOWLANDS",,  45.362219, -75.711088,,,0
SC380,6717,"FISHER / MEADOWLANDS",,  45.362094, -75.711230,,,0
SC490,5679,"VIEWMOUNT / FARMGATE",,  45.354686, -75.708194,,,0
SC500,5683,"VIEWMOUNT / FARM GATE",,  45.354586, -75.708106,,,0
SC510,6055,"454 VIEWMOUNT",,  45.353569, -75.709332,,,0
SC520,6059,"454 VIEWMOUNT",,  45.353568, -75.709192,,,0
SC530,6056,"VIEWMOUNT / OLD COUNTRY",,  45.352057, -75.709430,,,0
SC540,4556,"VIEWMOUNT / OLD COUNTRY",,  45.352136, -75.709084,,,0
SC550,6057,"VIEWMOUNT / COOL SPRING",,  45.350342, -75.712440,,,0
SC560,5681,"VIEWMOUNT / FOUR SEASONS",,  45.350938, -75.711487,,,0
SC570,6061,"VIEWMOUNT / COACH HOUSE",,  45.349712, -75.713716,,,0
SC580,6058,"VIEWMOUNT / CHESTERTON",,  45.349560, -75.715233,,,0
SC590,6062,"VIEWMOUNT / CHESTERTON",,  45.349149, -75.715634,,,0
SD040,1605,"PRINCE OF WALES / STEPHANIE",,  45.342226, -75.699652,,,0
SD080,1604,"PRINCE OF WALES / RIDEAU HEIGHTS",,  45.338088, -75.701229,,,0
SD120,6063,"PRINCE OF WALES / AD. 2158",,  45.336268, -75.700782,,,0
SD130,1601,"PRINCE OF WALES / DEAKIN",,  45.330210, -75.701888,,,0
SD150,1602,"PRINCE OF WALES / BLAZER",,  45.327207, -75.702185,,,0
SD160,0999,"PRINCE OF WALES / WATERFORD",,  45.324810, -75.701683,,,0
SD175,6065,"AMBERWOOD / PRINCE OF WALES",,  45.322990, -75.701428,,,0
SD200,6066,"AMBERWOOD / PARMALEA",,  45.323816, -75.702386,,,0
SD210,6067,"AMBERWOOD / FIFESHIRE",,  45.323899, -75.703979,,,0
SD230,6068,"AMBERWOOD / FIFESHIRE",,  45.322461, -75.705543,,,0
SD250,0993,"AMBERWOOD / EDENBROOK",,  45.320512, -75.707471,,,0
SD280,6069,"AMBERWOOD / CALAIS",,  45.320989, -75.710053,,,0
SD290,4567,"AMBERWOOD / WEATHERWOOD",,  45.321678, -75.712110,,,0
SD310,0992,"AMBERWOOD / WEATHERWOOD",,  45.320637, -75.713796,,,0
SD330,0990,"AMBERWOOD / WEATHERWOOD",,  45.318534, -75.712868,,,0
SD490,1608,"MACFARLANE / GREENSIDE",,  45.328946, -75.706486,,,0
SD500,1840,"MACFARLANE / GREENSIDE",,  45.328997, -75.705962,,,0
SD510,6081,"MACFARLANE / BRISBANE",,  45.327679, -75.709348,,,0
SD520,1609,"MACFARLANE / BRISBANE",,  45.327827, -75.708581,,,0
SD530,6082,"MACFARLANE / PINEGLEN",,  45.326359, -75.712364,,,0
SD540,6086,"MACFARLANE / PINEGLEN",,  45.326029, -75.712675,,,0
SD550,6083,"MACFARLANE / BELLEDUNE",,  45.325331, -75.714624,,,0
SD560,6087,"MACFARLANE / BELLEDUNE",,  45.325152, -75.714767,,,0
SD570,6088,"MACFARLANE / BRIGGS",,  45.324390, -75.716486,,,0
SD580,6084,"MACFARLANE / MERIVALE",,  45.323288, -75.717226,,,0
SD600,1955,"MACFARLANE / DEAKIN",,  45.330304, -75.703737,,,0
SD610,6085,"MACFARLANE / DEAKIN",,  45.330401, -75.703493,,,0
SD618,1873,"AURIGA / DEAKIN",,  45.332147, -75.704375,,,0
SD620,6089,"AURIGA / DEAKIN",,  45.331291, -75.704641,,,0
SD630,1954,"DEAKIN / AURIGA",,  45.331495, -75.704217,,,0
SD635,6093,"46 AURIGA",,  45.330231, -75.706136,,,0
SD640,6090,"ANTARES / AURIGA",,  45.329769, -75.708286,,,0
SD645,6091,"43 AURIGA",,  45.330158, -75.706060,,,0
SD650,6094,"AURIGA / ANTARES",,  45.329739, -75.707954,,,0
SD660,6092,"ANTARES / AURIGA",,  45.330937, -75.709367,,,0
SD670,6095,"ANTARES / AURIGA",,  45.330945, -75.709201,,,0
SD680,1968,"ANTARES / CAPELLA",,  45.333517, -75.708910,,,0
SD690,1922,"ANTARES / CAPELLA",,  45.333578, -75.708743,,,0
SD695,1039,"AURIGA / ANTARES",,  45.334614, -75.706190,,,0
SD700,6096,"ANTARES / WEST HUNT CLUB",,  45.335379, -75.706345,,,0
SD710,6097,"ANTARES / WEST HUNT CLUB",,  45.335670, -75.705422,,,0
SD715,6052,"OTTAWA SIKH SOCIETY",,  45.338437, -75.704827,,,0
SD720,5815,"HUNT CLUB / PRINCE OF WALES",,  45.334487, -75.702198,,,0
SD730,6098,"HUNT CLUB / PRINCE OF WALES",,  45.334219, -75.702457,,,0
SD810,4401,"WEST HUNT CLUB / SUNDERLAND",,  45.336915, -75.718827,,,0
SD812,4400,"WEST HUNT CLUB / RAYDON",,  45.337131, -75.718958,,,0
SD815,1319,"340 WEST HUNT CLUB",,  45.339587, -75.712508,,,0
SD818,1320,"339 WEST HUNT CLUB",,  45.339812, -75.712739,,,0
